id_measure_nocohort,measure_type,equipment_end_use,description,building_type,equipment_applicability,season,timestep_between_calls,call_limit_peak_week,call_limit_peak_day,precharge_shape,dr_shape,rebound_shape,notes
dhwsetback_dhw_res_sfd,dhwsetback,dhw,water heater control,sfd,"config_dhw_res_001",all,12,3,1,,"-0.182,-0.24,0.26,0.26,-0.245",,Mix summer/winter (50/50). The 1st hour of precharge for winter is lower to account for the 1.6 hour of precharge time. Source: https://illumeadvising.com/files/Water-Heater-Demand-Response-Comparing-Full-Replacement-and-After-Market-Controllers.pdf
dhwsetback_dhw_res_row,dhwsetback,dhw, water heater control,row,"config_dhw_res_001",all,12,3,1,,"-0.182,-0.24,0.26,0.26,-0.245",,Mix summer/winter (50/50). The 1st hour of precharge for winter is lower to account for the 1.6 hour of precharge time. Source: https://illumeadvising.com/files/Water-Heater-Demand-Response-Comparing-Full-Replacement-and-After-Market-Controllers.pdf
dhwsetback_dhw_res_apt,dhwsetback,dhw,water heater control,apt,"config_dhw_res_001",all,12,3,1,,"-0.182,-0.24,0.26,0.26,-0.245",,Mix summer/winter (50/50). The 1st hour of precharge for winter is lower to account for the 1.6 hour of precharge time. Source: https://illumeadvising.com/files/Water-Heater-Demand-Response-Comparing-Full-Replacement-and-After-Market-Controllers.pdf
dhwsetback_dhw_res_mob,dhwsetback,dhw,water heater control,mob,"config_dhw_res_001",all,12,3,1,,"-0.182,-0.24,0.26,0.26,-0.245",,Mix summer/winter (50/50). The 1st hour of precharge for winter is lower to account for the 1.6 hour of precharge time. Source: https://illumeadvising.com/files/Water-Heater-Demand-Response-Comparing-Full-Replacement-and-After-Market-Controllers.pdf
heatsetback_heating_res_sfd,heatsetback,heating,"smart tstat setback, heating",sfd,"config_hvac_res_004,config_hvac_res_010,config_hvac_res_016,config_hvac_res_021",winter,20,3,1,,"-0.6,-0.7,1.4,1.1,-0.2",,Summer scaled to Hilo's average saving of the last 3 years (3.16 kW/house). Shape from: https://opiniondynamics.com/optimizing-smart-thermostat-demand-response-load-impacts/
heatsetback_heating_res_row,heatsetback,heating,"smart tstat setback, heating",row,"config_hvac_res_004,config_hvac_res_010,config_hvac_res_016,config_hvac_res_021",winter,20,3,1,,"-0.48,-0.56,1.12,0.88,-0.16",,Summer scaled to Hilo's average saving of the last 3 years (3.16 kW/house). Shape from: https://opiniondynamics.com/optimizing-smart-thermostat-demand-response-load-impacts/
heatsetback_heating_res_apt,heatsetback,heating,"smart tstat setback, heating",apt,"config_hvac_res_004,config_hvac_res_010,config_hvac_res_016,config_hvac_res_021",winter,20,3,1,,"-0.37,-0.43,0.86,0.68,-0.12",,Summer scaled to Hilo's average saving of the last 3 years (3.16 kW/house). Shape from: https://opiniondynamics.com/optimizing-smart-thermostat-demand-response-load-impacts/
heatsetback_heating_res_mob,heatsetback,heating,"smart tstat setback, heating",mob,"config_hvac_res_004,config_hvac_res_010,config_hvac_res_016,config_hvac_res_021",winter,20,3,1,,"-0.36,-0.42,0.83,0.65,-0.12",,Summer scaled to Hilo's average saving of the last 3 years (3.16 kW/house). Shape from: https://opiniondynamics.com/optimizing-smart-thermostat-demand-response-load-impacts/
coolsetback_cooling_res_sfd,coolsetback,cooling,"smart tstat setback, cooling",sfd,"config_hvac_res_007,config_hvac_res_008,config_hvac_res_009, config_hvac_res_010, config_hvac_res_011, config_hvac_res_012, config_hvac_res_014, config_hvac_res_015, config_hvac_res_016, config_hvac_res_017, config_hvac_res_018, config_hvac_res_019, config_hvac_res_020, config_hvac_res_021, config_hvac_res_022, config_hvac_res_023",summer,20,3,1,,"-0.2,-0.23,0.47,0.37,-0.07",,Load impact digitize from: https://opiniondynamics.com/optimizing-smart-thermostat-demand-response-load-impacts/
coolsetback_cooling_res_row,coolsetback,cooling,"smart tstat setback, cooling",row,"config_hvac_res_007,config_hvac_res_008,config_hvac_res_009, config_hvac_res_010, config_hvac_res_011, config_hvac_res_012, config_hvac_res_014, config_hvac_res_015, config_hvac_res_016, config_hvac_res_017, config_hvac_res_018, config_hvac_res_019, config_hvac_res_020, config_hvac_res_021, config_hvac_res_022, config_hvac_res_023",summer,20,3,1,,"-0.16,-0.19,0.37,0.29,-0.05",,Load impact digitize from: https://opiniondynamics.com/optimizing-smart-thermostat-demand-response-load-impacts/
